gene_set,gene,ensembl_id,present_in_ahba,match_method,gene_weight,missing_handling
weighted,MYOC,ENSG00000034971,False,exact approved gene symbol,0.1474305689334869,excluded with identifier retained in audit
weighted,AMPD3,ENSG00000133805,True,exact approved gene symbol,0.145731434226036,included
weighted,STBD1,ENSG00000118804,True,exact approved gene symbol,0.1455356031656265,included
weighted,CCDC18,ENSG00000122483,False,exact approved gene symbol,0.1441077291965484,excluded with identifier retained in audit
weighted,LRRK2,ENSG00000188906,True,exact approved gene symbol,0.1440357118844986,included
weighted,NEK1,ENSG00000137601,True,exact approved gene symbol,0.1384527385234832,included
weighted,SLC45A3,ENSG00000158715,True,exact approved gene symbol,0.1365202218294143,included
weighted,CTF1,ENSG00000150281,True,exact approved gene symbol,0.1332284361124038,included
weighted,MTF2,ENSG00000143033,True,exact approved gene symbol,0.1314258724451065,included
weighted,SNX20,ENSG00000167208,True,exact approved gene symbol,0.1277837306261062,included
weighted,IQGAP2,ENSG00000145703,False,exact approved gene symbol,0.123767502605915,excluded with identifier retained in audit
weighted,DTX3L,ENSG00000163840,True,exact approved gene symbol,0.1236892640590667,included
weighted,YARS2,ENSG00000139131,True,exact approved gene symbol,0.1202353090047836,included
weighted,MMRN1,ENSG00000138722,False,exact approved gene symbol,0.1140309423208236,excluded with identifier retained in audit
weighted,WNT9B,ENSG00000158955,False,exact approved gene symbol,0.1093313992023468,excluded with identifier retained in audit
weighted,FCGR2B,ENSG00000072694,False,exact approved gene symbol,0.1046146750450134,excluded with identifier retained in audit
weighted,NUCKS1,ENSG00000069275,True,exact approved gene symbol,0.1008259132504463,included
weighted,IP6K2,ENSG00000068745,True,exact approved gene symbol,0.0962643772363662,included
weighted,DPM3,ENSG00000179085,True,exact approved gene symbol,0.0954490676522255,included
weighted,CNOT7,ENSG00000198791,True,exact approved gene symbol,0.0932418778538703,included
weighted,CCDC178,ENSG00000166960,False,exact approved gene symbol,0.0921255201101303,excluded with identifier retained in audit
weighted,CMC1,ENSG00000187118,True,exact approved gene symbol,0.0913318544626236,included
weighted,COX4I2,ENSG00000131055,True,exact approved gene symbol,0.0888595879077911,included
weighted,FASTKD5,ENSG00000215251,True,exact approved gene symbol,0.0885050073266029,included
weighted,UBOX5,ENSG00000185019,True,exact approved gene symbol,0.0885050073266029,included
weighted,DR1,ENSG00000117505,True,exact approved gene symbol,0.0850554704666137,included
weighted,VPS37A,ENSG00000155975,True,exact approved gene symbol,0.0843638330698013,included
weighted,P4HTM,ENSG00000178467,True,exact approved gene symbol,0.0821254402399063,included
weighted,ARL17A,ENSG00000185829,True,exact approved gene symbol,0.0748985931277275,included
weighted,CERS6,ENSG00000172292,True,exact approved gene symbol,0.0747304856777191,included
weighted,DCAF16,ENSG00000163257,True,exact approved gene symbol,0.0746670886874198,included
weighted,MTMR7,ENSG00000003987,True,exact approved gene symbol,0.0743675380945205,included
weighted,FAM171A2,ENSG00000161682,True,exact approved gene symbol,0.0734663009643554,included
weighted,ACBD7,ENSG00000176244,True,exact approved gene symbol,0.0733931586146354,included
weighted,FOXS1,ENSG00000179772,True,exact approved gene symbol,0.0717954486608505,included
weighted,OLAH,ENSG00000152463,False,exact approved gene symbol,0.0715357065200805,excluded with identifier retained in audit
weighted,BIN3,ENSG00000147439,True,exact approved gene symbol,0.0713214352726936,included
weighted,METTL13,ENSG00000010165,True,exact approved gene symbol,0.0712111964821815,included
weighted,NUP42,ENSG00000136243,False,exact approved gene symbol,0.0711012184619903,excluded with identifier retained in audit
