disease,disease_id,gene_set,region_id,region,z_score,gene_set_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank,spatially_robust,n_spatial_permutations,donor_median_rank_percentile,donor_rank_iqr,donors_observed
Amyotrophic lateral sclerosis,als,broad,130,Thal VPL R,0.8128716837795255,0.8544530162368379,0.16928307169283072,0.8793051729309828,0.8307169283071693,25,False,10000,0.9805889423076923,0.004026442307692335,2
Amyotrophic lateral sclerosis,als,broad,131,Thal IL L,1.240727664245824,0.8544530162368379,0.05039496050394961,0.8793051729309828,0.9496050394960504,5,False,10000,0.9838709677419355,0.03076923076923077,5
Amyotrophic lateral sclerosis,als,broad,135,Thal MDm L,0.16012066474536593,0.8693130686931306,0.44865513448655137,0.9105060082227071,0.5513448655134486,68,False,10000,0.13076923076923078,0.27142137096774194,3
Amyotrophic lateral sclerosis,als,broad,136,Thal MDm R,-0.5189667354070315,0.916376219520905,0.80991900809919,0.9826443826205614,0.19008099190080996,110,False,10000,0.5389423076923077,0.023557692307692335,2
Amyotrophic lateral sclerosis,als,broad,137,Thal MDl L,-0.535363821877343,0.916376219520905,0.7405259474052595,0.9826443826205614,0.25947405259474055,99,False,10000,0.5692307692307692,0.34317617866004957,3
Amyotrophic lateral sclerosis,als,broad,139,Thal LGN L,0.5910266273459462,0.8544530162368379,0.2976702329767023,0.8867205587133594,0.7023297670232977,43,False,10000,0.8076923076923077,0.1781637717121589,5
Amyotrophic lateral sclerosis,als,broad,140,Thal LGN R,0.8882586396736988,0.8544530162368379,0.11948805119488051,0.8793051729309828,0.8805119488051195,15,False,10000,0.8984375,0.1015625,2
Amyotrophic lateral sclerosis,als,broad,141,Thal MGN L,0.7312866059218508,0.8544530162368379,0.21127887211278873,0.8835298288352983,0.7887211278872113,33,False,10000,0.8653846153846154,0.11153846153846148,2
Amyotrophic lateral sclerosis,als,broad,143,Thal PuI L,0.3951851573137337,0.8544530162368379,0.3601639836016398,0.8867205587133594,0.6398360163983602,53,False,10000,0.9423076923076923,0.04999999999999993,2
Amyotrophic lateral sclerosis,als,broad,144,Thal PuI R,-0.03387396824734532,0.9105651934806519,0.5525447455254474,0.9826443826205614,0.4474552544745526,76,False,10000,0.9377403846153847,0.03149038461538456,2
Amyotrophic lateral sclerosis,als,broad,145,Thal PuM L,-1.0734273229452063,0.9422948330166983,0.8961103889611038,0.9826443826205614,0.10388961103889616,125,False,10000,0.7692307692307693,0.21346153846153848,5
Amyotrophic lateral sclerosis,als,broad,146,Thal PuM R,-0.5677534193258065,0.916376219520905,0.8153184681531847,0.9826443826205614,0.18468153184681535,112,False,10000,0.6115985576923078,0.10378605769230764,2
Amyotrophic lateral sclerosis,als,broad,147,Thal PuA L,-0.28719936256011236,0.9105651934806519,0.6568343165683431,0.9826443826205614,0.3431656834316569,88,False,10000,0.9354838709677419,0.07692307692307698,3
