disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Major depressive disorder,major_depression,12876,15697,stringent,0.19772478854965428,55
Major depressive disorder,major_depression,12876,15697,weighted,0.2455743541577822,55
Major depressive disorder,major_depression,12876,9861,broad,0.23115185819932488,56
Major depressive disorder,major_depression,12876,9861,stringent,0.18595363332985568,56
Major depressive disorder,major_depression,12876,9861,weighted,0.2542407083888967,56
Major depressive disorder,major_depression,14380,15496,broad,0.34641343325794133,57
Major depressive disorder,major_depression,14380,15496,stringent,0.279452467429744,57
Major depressive disorder,major_depression,14380,15496,weighted,0.2835188936566929,57
Major depressive disorder,major_depression,14380,15697,broad,-0.004092281369544526,57
Major depressive disorder,major_depression,14380,15697,stringent,0.19387973029804972,57
Major depressive disorder,major_depression,14380,15697,weighted,0.08412220352731778,57
Major depressive disorder,major_depression,14380,9861,broad,-0.04363594879669825,59
Major depressive disorder,major_depression,14380,9861,stringent,0.07306871053336396,59
Major depressive disorder,major_depression,14380,9861,weighted,0.027751588084489603,59
Major depressive disorder,major_depression,15496,15697,broad,0.41342479539516713,56
Major depressive disorder,major_depression,15496,15697,stringent,0.29695299038882167,56
Major depressive disorder,major_depression,15496,15697,weighted,0.30461854627630736,56
Major depressive disorder,major_depression,15496,9861,broad,0.3179316286456745,55
Major depressive disorder,major_depression,15496,9861,stringent,0.2454818241350596,55
Major depressive disorder,major_depression,15496,9861,weighted,0.3736682915643175,55
Major depressive disorder,major_depression,15697,9861,broad,0.22320913662807151,59
Major depressive disorder,major_depression,15697,9861,stringent,0.3170366734478061,59
Major depressive disorder,major_depression,15697,9861,weighted,0.29972536937722133,59
Attention deficit-hyperactivity disorder,adhd,10021,12876,broad,0.2767396733305312,56
Attention deficit-hyperactivity disorder,adhd,10021,12876,stringent,0.2699401494551917,56
Attention deficit-hyperactivity disorder,adhd,10021,12876,weighted,0.23593777143639133,56
Attention deficit-hyperactivity disorder,adhd,10021,14380,broad,0.27000018404248227,59
Attention deficit-hyperactivity disorder,adhd,10021,14380,stringent,0.448795427332509,59
Attention deficit-hyperactivity disorder,adhd,10021,14380,weighted,0.3140299173372244,59
Attention deficit-hyperactivity disorder,adhd,10021,15496,broad,0.22059314560403892,56
Attention deficit-hyperactivity disorder,adhd,10021,15496,stringent,0.371502835576544,56
Attention deficit-hyperactivity disorder,adhd,10021,15496,weighted,0.2724720252270876,56
Attention deficit-hyperactivity disorder,adhd,10021,15697,broad,0.02091703212547091,57
Attention deficit-hyperactivity disorder,adhd,10021,15697,stringent,0.2693552828356299,57
Attention deficit-hyperactivity disorder,adhd,10021,15697,weighted,0.1891657270086015,57
Attention deficit-hyperactivity disorder,adhd,10021,9861,broad,0.23072274684652716,123
Attention deficit-hyperactivity disorder,adhd,10021,9861,stringent,0.26634043965717663,123
Attention deficit-hyperactivity disorder,adhd,10021,9861,weighted,0.2815207339114479,123
Attention deficit-hyperactivity disorder,adhd,12876,14380,broad,0.5321851558095974,58
Attention deficit-hyperactivity disorder,adhd,12876,14380,stringent,0.41649680966205677,58
Attention deficit-hyperactivity disorder,adhd,12876,14380,weighted,0.4213558875344026,58
Attention deficit-hyperactivity disorder,adhd,12876,15496,broad,0.39802092454516197,55
Attention deficit-hyperactivity disorder,adhd,12876,15496,stringent,0.5499589663094332,55
Attention deficit-hyperactivity disorder,adhd,12876,15496,weighted,0.4993626257455526,55
Attention deficit-hyperactivity disorder,adhd,12876,15697,broad,0.30912925978676303,55
Attention deficit-hyperactivity disorder,adhd,12876,15697,stringent,0.5822874300281616,55
Attention deficit-hyperactivity disorder,adhd,12876,15697,weighted,0.5328634818393475,55
Attention deficit-hyperactivity disorder,adhd,12876,9861,broad,0.2664148958033297,56
Attention deficit-hyperactivity disorder,adhd,12876,9861,stringent,0.5010471514399115,56
Attention deficit-hyperactivity disorder,adhd,12876,9861,weighted,0.43670266248742945,56
