gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
broad,153,ACC pre L,0.6241121821881391,0.7490679503478223,0.3096690330966903,0.8902984701529847,0.6903309669033098,48
broad,154,ACC pre R,0.944326569419215,0.7371808273718082,0.23707629237076291,0.8898642050688548,0.7629237076292371,32
broad,155,ACC sup L,0.0268049414988297,0.9198545261752894,0.508049195080492,0.9320486555995563,0.49195080491950804,68
broad,156,ACC sup R,-1.3978458399221831,0.9936028619360286,0.9098090190980902,0.9791793547917935,0.0901909809019098,127
broad,157,N Acc L,0.610932154409245,0.7536806319368063,0.33666633336666335,0.9109794902862656,0.6633336666333367,51
broad,158,N Acc R,0.3482125634840443,0.9092305055208764,0.415958404159584,0.9320486555995563,0.5840415958404159,56
broad,161,SN pc L,1.3153211588312526,0.6176525204622394,0.13538646135386462,0.8898642050688548,0.8646135386461353,19
broad,163,SN pr L,-0.5166100112836912,0.9936028619360286,0.6998300169983002,0.9791793547917935,0.30016998300169984,96
broad,164,SN pr R,0.1505156345228736,0.9198545261752894,0.44865513448655137,0.9320486555995563,0.5513448655134486,59
broad,165,Red N L,-1.1992550613572246,0.9936028619360286,0.8592140785921408,0.9791793547917935,0.14078592140785917,117
broad,166,Red N R,0.7620153107713578,0.7490679503478223,0.2726727327267273,0.8898642050688548,0.7273272672732727,39
broad,167,LC L,0.0850630182790518,0.9198545261752894,0.49355064493550643,0.9320486555995563,0.5064493550644935,66
broad,168,LC R,-1.058030713517956,0.9936028619360286,0.9139086091390861,0.9791793547917935,0.08609139086091389,128
broad,169,Raphe D,-0.1165621972410405,0.9198545261752894,0.5588441155884412,0.9320486555995563,0.44115588441155884,77
broad,170,Raphe M,0.1762792971256348,0.9198545261752894,0.44915508449155084,0.9320486555995563,0.5508449155084492,60
stringent,1,Precentral L,-0.5890244381311424,0.9998000199980002,0.6946305369463054,0.9641493477770867,0.3053694630536946,95
stringent,2,Precentral R,-1.403031177030408,0.9998000199980002,0.907009299070093,0.9952254774522548,0.09299070092990702,125
stringent,3,Frontal Sup 2 L,0.0271561919487254,0.9071660401527416,0.49545045495450457,0.9187710442438903,0.5045495450454954,74
stringent,4,Frontal Sup 2 R,1.2906286282619963,0.777966203379662,0.11948805119488051,0.8334366563343665,0.8805119488051195,16
stringent,5,Frontal Mid 2 L,-0.8073417163463502,0.9998000199980002,0.7588241175882412,0.9641493477770867,0.2411758824117588,103
stringent,6,Frontal Mid 2 R,-0.514833308056366,0.9998000199980002,0.6895310468953104,0.9641493477770867,0.3104689531046896,94
stringent,7,Frontal Inf Oper L,1.3160055194604598,0.777966203379662,0.10058994100589941,0.8334366563343665,0.8994100589941005,13
stringent,8,Frontal Inf Oper R,-0.6231241389765881,0.9998000199980002,0.7414258574142586,0.9641493477770867,0.2585741425857414,101
stringent,9,Frontal Inf Tri L,-0.2066808161515193,0.937824822168946,0.5747425257474252,0.9187710442438903,0.42525747425257476,85
stringent,10,Frontal Inf Tri R,-0.6824875858485141,0.9998000199980002,0.7272272772722728,0.9641493477770867,0.27277272272772723,98
stringent,11,Frontal Inf Orb 2 L,1.0923429192433194,0.777966203379662,0.14328567143285673,0.8334366563343665,0.8567143285671432,19
stringent,12,Frontal Inf Orb 2 R,-1.042584446301689,0.9998000199980002,0.8244175582441756,0.9641493477770867,0.17558244175582438,118
stringent,13,Rolandic Oper L,-0.267106042264844,0.9431124303300008,0.5887411258874112,0.9187710442438903,0.41125887411258877,88
stringent,14,Rolandic Oper R,-0.9628110863441962,0.9998000199980002,0.8231176882311769,0.9641493477770867,0.17688231176882308,116
stringent,15,Supp Motor Area L,0.1989991724345541,0.8367163283671633,0.41335866413358663,0.8334366563343665,0.5866413358664133,67
stringent,16,Supp Motor Area R,-0.6290940986783539,0.9998000199980002,0.7769223077692231,0.9641493477770867,0.2230776922307769,108
stringent,17,Olfactory L,0.6843903316517773,0.777966203379662,0.30486951304869514,0.8334366563343665,0.6951304869513049,48
stringent,18,Olfactory R,-0.1938883931239872,0.937824822168946,0.5705429457054294,0.9187710442438903,0.4294570542945706,84
stringent,19,Frontal Sup Medial L,0.9936758391399092,0.777966203379662,0.16948305169483052,0.8334366563343665,0.8305169483051695,23
stringent,20,Frontal Sup Medial R,2.2194766658499083,0.4636336366363364,0.011898810118988102,0.8334366563343665,0.9881011898810119,1
stringent,21,Frontal Med Orb L,1.4390914496299694,0.777966203379662,0.10968903109689031,0.8334366563343665,0.8903109689031097,15
stringent,22,Frontal Med Orb R,-0.0858490745126515,0.937824822168946,0.5382461753824618,0.9187710442438903,0.4617538246175382,78
stringent,23,Rectus L,2.1277604062196973,0.4636336366363364,0.0638936106389361,0.8334366563343665,0.9361063893610639,8
stringent,24,Rectus R,1.357933790952128,0.777966203379662,0.09879012098790121,0.8334366563343665,0.9012098790120988,12
stringent,25,OFCmed L,0.7206475099458738,0.777966203379662,0.29757024297570245,0.8334366563343665,0.7024297570242976,46
stringent,26,OFCmed R,0.4219335406387558,0.8158990552557647,0.3388661133886611,0.8334366563343665,0.6611338866113389,53
stringent,27,OFCant L,1.1247646705441574,0.777966203379662,0.1845815418458154,0.8334366563343665,0.8154184581541846,25
stringent,28,OFCant R,2.4897566331616963,0.4636336366363364,0.018998100189981004,0.8334366563343665,0.981001899810019,2
stringent,29,OFCpost L,0.8342096458244006,0.777966203379662,0.24917508249175083,0.8334366563343665,0.7508249175082492,36
stringent,30,OFCpost R,0.2313655996728727,0.8228441861696183,0.42275772422757724,0.8334366563343665,0.5772422757724227,70
stringent,31,OFClat L,-0.2500428871657533,0.9431124303300008,0.5925407459254075,0.9187710442438903,0.4074592540745925,89
stringent,32,OFClat R,0.2686519195040687,0.8228441861696183,0.4146585341465853,0.8334366563343665,0.5853414658534146,68
stringent,33,Insula L,0.2913766631243344,0.8228441861696183,0.40775922407759224,0.8334366563343665,0.5922407759224078,66
stringent,34,Insula R,0.4795009583592571,0.8158990552557647,0.3231676832316768,0.8334366563343665,0.6768323167683232,50
stringent,37,Cingulate Mid L,1.548762680322274,0.777966203379662,0.07839216078392161,0.8334366563343665,0.9216078392160784,9
stringent,38,Cingulate Mid R,0.9993111347279556,0.777966203379662,0.1523847615238476,0.8334366563343665,0.8476152384761524,21
stringent,39,Cingulate Post L,-0.918767771273445,0.9998000199980002,0.7883211678832117,0.9641493477770867,0.21167883211678828,110
stringent,41,Hippocampus L,0.9286158174530966,0.777966203379662,0.21697830216978303,0.8334366563343665,0.7830216978302169,31
stringent,42,Hippocampus R,0.3538410703593541,0.8158990552557647,0.39416058394160586,0.8334366563343665,0.6058394160583942,63
stringent,43,ParaHippocampal L,0.8079169659626434,0.777966203379662,0.2552744725527447,0.8334366563343665,0.7447255274472553,37
stringent,44,ParaHippocampal R,-0.2940473997262139,0.945358797453588,0.5768423157684232,0.9187710442438903,0.42315768423157685,86
stringent,45,Amygdala L,0.7782583286240385,0.777966203379662,0.21697830216978303,0.8334366563343665,0.7830216978302169,31
stringent,46,Amygdala R,0.6611677111062596,0.777966203379662,0.2950704929507049,0.8334366563343665,0.7049295070492951,45
stringent,47,Calcarine L,-1.2045251432247686,0.9998000199980002,0.817918208179182,0.9641493477770867,0.18208179182081796,114
stringent,48,Calcarine R,-0.3923908745767133,0.98607062370686,0.6083391660833917,0.9225363177967917,0.39166083391660833,91
stringent,49,Cuneus L,-1.551209092034354,0.9998000199980002,0.8901109889011098,0.9952254774522548,0.10988901109889015,123
stringent,51,Lingual L,-1.5628592571259614,0.9998000199980002,0.901009899010099,0.9952254774522548,0.09899010098990102,124
stringent,52,Lingual R,-1.7881318180062744,0.9998000199980002,0.9311068893110689,0.9952254774522548,0.06889311068893111,128
stringent,53,Occipital Sup L,-1.7206861265381337,0.9998000199980002,0.9512048795120488,0.9952254774522548,0.048795120487951205,130
stringent,55,Occipital Mid L,-0.7193642792892501,0.9998000199980002,0.7344265573442655,0.9641493477770867,0.26557344265573446,100
stringent,56,Occipital Mid R,-0.149706921190297,0.937824822168946,0.5444455554444556,0.9187710442438903,0.4555544445555444,80
stringent,57,Occipital Inf L,-0.9747144435318922,0.9998000199980002,0.7916208379162084,0.9641493477770867,0.2083791620837916,111
stringent,58,Occipital Inf R,-0.2717959767147786,0.9431124303300008,0.5860413958604139,0.9187710442438903,0.4139586041395861,87
stringent,59,Fusiform L,0.8885908527534704,0.777966203379662,0.22757724227577242,0.8334366563343665,0.7724227577242275,33
stringent,60,Fusiform R,-0.1201841311307466,0.937824822168946,0.5426457354264573,0.9187710442438903,0.45735426457354267,79
stringent,61,Postcentral L,-0.6373403181027872,0.9998000199980002,0.7107289271072893,0.9641493477770867,0.2892710728927107,97
stringent,62,Postcentral R,-1.406400036122237,0.9998000199980002,0.8592140785921408,0.9801544435720362,0.14078592140785917,119
stringent,63,Parietal Sup L,-1.0105042474102426,0.9998000199980002,0.8208179182081792,0.9641493477770867,0.17918208179182082,115
stringent,64,Parietal Sup R,-2.19890146267368,0.9998000199980002,0.9756024397560243,0.9952254774522548,0.024397560243975658,135
stringent,65,Parietal Inf L,-0.6299719770096627,0.9998000199980002,0.7307269273072693,0.9641493477770867,0.2692730726927307,99
