region_id,region_name,broad_mean_expression,stringent_mean_expression,weighted_mean_expression,n_broad_genes_present,n_stringent_genes_present,n_weighted_genes_present,atlas_label,broad_system,analysis_scale
145,Thal PuM L,0.5317578706636388,0.5542556513344211,0.540701886255344,123,34,123,Thal_PuM_L,subcortex,raw_scale_analysis
146,Thal PuM R,0.5258686480335911,0.5498453396594511,0.5342954222319437,123,34,123,Thal_PuM_R,subcortex,raw_scale_analysis
147,Thal PuA L,0.531359877078257,0.5606488250029142,0.5441006702683586,123,34,123,Thal_PuA_L,subcortex,raw_scale_analysis
148,Thal PuA R,0.5112707166959396,0.541371947453908,0.5212724071707852,123,34,123,Thal_PuA_R,subcortex,raw_scale_analysis
153,ACC pre L,0.47538841464782033,0.5071831296539171,0.4883710567005035,123,34,123,ACC_pre_L,cortex,raw_scale_analysis
154,ACC pre R,0.5341722630339706,0.5332571165323438,0.5374317381080879,123,34,123,ACC_pre_R,cortex,raw_scale_analysis
155,ACC sup L,0.4868926404980335,0.5142145222359013,0.49263060996040164,123,34,123,ACC_sup_L,cortex,raw_scale_analysis
156,ACC sup R,0.5121914833963584,0.5147375341298693,0.5149994127458175,123,34,123,ACC_sup_R,cortex,raw_scale_analysis
157,N Acc L,0.5146252791058787,0.4981384763960006,0.5031468898661671,123,34,123,N_Acc_L,subcortex,raw_scale_analysis
158,N Acc R,0.5221471174722748,0.46765980636553284,0.4910175942999074,123,34,123,N_Acc_R,subcortex,raw_scale_analysis
161,SN pc L,0.5333927649823768,0.5493771890664433,0.5280617165386614,123,34,123,SN_pc_L,brainstem,raw_scale_analysis
163,SN pr L,0.5217205138112694,0.5357137751431874,0.5179242423186421,123,34,123,SN_pr_L,brainstem,raw_scale_analysis
164,SN pr R,0.506596120319559,0.5447803686733518,0.5132594991311997,123,34,123,SN_pr_R,brainstem,raw_scale_analysis
165,Red N L,0.5057410903334201,0.5318300123352301,0.512219722084708,123,34,123,Red_N_L,brainstem,raw_scale_analysis
166,Red N R,0.5391685492813293,0.5578878417006754,0.5382425356206847,123,34,123,Red_N_R,brainstem,raw_scale_analysis
167,LC L,0.5028916291899079,0.5174491766039399,0.5094925738833807,123,34,123,LC_L,brainstem,raw_scale_analysis
168,LC R,0.44578659196042403,0.46037868069869275,0.4488216529507471,123,34,123,LC_R,brainstem,raw_scale_analysis
169,Raphe D,0.48667570855859754,0.5054766700495343,0.48906460395931045,123,34,123,Raphe_D,brainstem,raw_scale_analysis
170,Raphe M,0.4951365355853581,0.49623461051796447,0.4942156147360091,123,34,123,Raphe_M,brainstem,raw_scale_analysis
