region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
163,SN pr L,broad,0.5217205138112694,0.10453960551414487,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
164,SN pr R,broad,0.506596120319559,-0.029329290449779895,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
165,Red N L,broad,0.5057410903334201,-0.01921191125681512,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
166,Red N R,broad,0.5391685492813293,0.23906791098146515,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
167,LC L,broad,0.5028916291899079,-0.04058270528967686,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
168,LC R,broad,0.44578659196042403,-0.49460392631093586,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
169,Raphe D,broad,0.48667570855859754,-0.16015679969270114,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
170,Raphe M,broad,0.4951365355853581,-0.10269770898537768,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
1,Precentral L,stringent,0.5030694380856986,-0.05627971098742088,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
2,Precentral R,stringent,0.48359543651986764,-0.20071663537806225,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
3,Frontal Sup 2 L,stringent,0.4996462733010145,-0.08944205662110394,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
4,Frontal Sup 2 R,stringent,0.5225453668714447,0.10480110836286735,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
5,Frontal Mid 2 L,stringent,0.504354455652558,-0.05383908191073005,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
6,Frontal Mid 2 R,stringent,0.501440216479564,-0.06436228469613679,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
7,Frontal Inf Oper L,stringent,0.5106954198594762,0.01920562879949593,raw_scale_analysis,gene_standardized_analysis,0.9951146444387624,primary raw-scale plus standardized sensitivity
