disease,disease_id,gene_set,region,region_id,score,number_of_genes,analysis_scale
Parkinson disease,parkinson,stringent,Thal PuM R,146,0.5498453396594511,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal PuA L,147,0.5606488250029142,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal PuA R,148,0.541371947453908,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ACC pre L,153,0.5071831296539171,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ACC pre R,154,0.5332571165323438,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ACC sup L,155,0.5142145222359013,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ACC sup R,156,0.5147375341298693,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,N Acc L,157,0.4981384763960006,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,N Acc R,158,0.46765980636553284,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,SN pc L,161,0.5493771890664433,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,SN pr L,163,0.5357137751431874,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,SN pr R,164,0.5447803686733518,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Red N L,165,0.5318300123352301,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Red N R,166,0.5578878417006754,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,LC L,167,0.5174491766039399,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,LC R,168,0.46037868069869275,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Raphe D,169,0.5054766700495343,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Raphe M,170,0.49623461051796447,34,raw_scale_analysis
Parkinson disease,parkinson,weighted,Precentral L,1,0.510264498240624,123,raw_scale_analysis
Parkinson disease,parkinson,weighted,Precentral R,2,0.4979046609127798,123,raw_scale_analysis
Parkinson disease,parkinson,weighted,Frontal Sup 2 L,3,0.5082875544897364,123,raw_scale_analysis
Parkinson disease,parkinson,weighted,Frontal Sup 2 R,4,0.5217156864461605,123,raw_scale_analysis
