region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
145,Thal PuM L,Thal_PuM_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-13.340540540540545,-28.313513513513513,7.362162162162164,21,5,True,retained
146,Thal PuM R,Thal_PuM_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,12.134831460674164,-27.044943820224717,7.471910112359552,14,2,True,retained
147,Thal PuA L,Thal_PuA_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-12.342857142857142,-22.971428571428575,7.714285714285708,6,3,True,retained
148,Thal PuA R,Thal_PuA_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,11.294117647058826,-21.705882352941174,7.941176470588232,3,2,True,retained
149,Thal PuL L,Thal_PuL_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-18.66666666666667,-25.33333333333333,11.777777777777771,1,1,False,insufficient_coverage
150,Thal PuL R,Thal_PuL_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,15.925925925925924,-22.81481481481481,13.037037037037038,1,1,False,insufficient_coverage
151,ACC sub L,ACC_sub_L,L,cortex,cortex,brain/cortex/cortex,-4.11904761904762,30.86904761904762,-5.5,0,0,False,no_assigned_samples
152,ACC sub R,ACC_sub_R,R,cortex,cortex,brain/cortex/cortex,5.484848484848484,31.787878787878782,-4.424242424242422,0,0,False,no_assigned_samples
153,ACC pre L,ACC_pre_L,L,cortex,cortex,brain/cortex/cortex,-4.960127591706538,43.668261562998396,7.212121212121218,4,3,True,retained
154,ACC pre R,ACC_pre_R,R,cortex,cortex,brain/cortex/cortex,8.833333333333329,43.271604938271594,12.728395061728392,8,2,True,retained
155,ACC sup L,ACC_sup_L,L,cortex,cortex,brain/cortex/cortex,-3.814876033057857,25.30247933884297,23.06115702479339,24,6,True,retained
156,ACC sup R,ACC_sup_R,R,cortex,cortex,brain/cortex/cortex,7.898686679174489,27.519699812382726,21.174484052532833,7,2,True,retained
