gene_symbol,entrez_id,ahba_probe_ids,ahba_probe_names,n_reannotated_candidate_probes,mapping_source,probe_selection,probe_note
ABL1,25.0,1030453;1059478;1059479;1059480;1059481,A_24_P282416;A_23_P60180;A_24_P393711;A_24_P281101;A_24_P291016,5,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABL2,27.0,1011338;1015499;1020817;1030639,A_32_P139894;A_24_P263878;A_23_P138099;CUST_11436_PI416261804,4,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABLIM1,3983.0,1027347;1027348;1027349,A_23_P202520;CUST_7376_PI416261804;CUST_7390_PI416261804,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABLIM2,84448.0,1010514;1019660;1037585;1037586,CUST_951_PI416379584;CUST_920_PI416573500;A_23_P255672;CUST_9610_PI416261804,4,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABLIM3,22885.0,1046215;1046216,A_23_P256205;A_24_P123408,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABR,29.0,1059472;1059473,CUST_15327_PI416261804;A_23_P503182,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABRACL,58527.0,1012246;1016250,CUST_5464_PI416261804;A_32_P160972,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABRAXAS2,23172.0,1045959;1045960,A_23_P364478;CUST_5995_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABT1,29777.0,1044248;1044249,A_23_P30784;CUST_2114_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABTB1,80325.0,1026256;1026257,A_23_P109643;A_24_P200297,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABTB2,25841.0,1045285;1045286,A_23_P356616;CUST_6330_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ACAA1,30.0,1012664;1016471;1018086,A_24_P379858;A_23_P69339;CUST_11701_PI416261804,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
