gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
GRAMD1B,ENSG00000023171,0.7041944265365601,0.7041944265365601,0.7041944265365601,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
GRIN2A,ENSG00000183454,0.7030854225158691,0.7030854225158691,0.7030854225158691,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
MAD1L1,ENSG00000002822,0.7022147178649902,0.7022147178649902,0.7022147178649902,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NDST3,ENSG00000164100,0.7017623782157898,0.7017623782157898,0.7017623782157898,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
EYS,ENSG00000188107,0.689249575138092,0.689249575138092,0.689249575138092,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ZNF281,ENSG00000162702,0.6887710690498352,0.6887710690498352,0.6887710690498352,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
UFM1,ENSG00000120686,0.6878940463066101,0.6878940463066101,0.6878940463066101,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
GALNT10,ENSG00000164574,0.6859481334686279,0.6859481334686279,0.6859481334686279,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ZNF823,ENSG00000197933,0.680152952671051,0.680152952671051,0.680152952671051,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SNX19,ENSG00000120451,0.673060417175293,0.673060417175293,0.673060417175293,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
