gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
CD6,ENSG00000013725,0.4964989423751831,0.4964989423751831,0.4964989423751831,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
VMP1,ENSG00000062716,0.49405428767204285,0.49405428767204285,0.49405428767204285,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
OS9,ENSG00000135506,0.49266088008880615,0.49266088008880615,0.49266088008880615,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LIMK2,ENSG00000182541,0.47817158699035645,0.47817158699035645,0.47817158699035645,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PLEK,ENSG00000115956,0.4632406532764435,0.4632406532764435,0.4632406532764435,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MPV17L2,ENSG00000254858,0.4546567499637604,0.4546567499637604,0.4546567499637604,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SCO2,ENSG00000284194,0.45388951897621155,0.45388951897621155,0.45388951897621155,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
OLIG3,ENSG00000177468,0.4486863613128662,0.4486863613128662,0.4486863613128662,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IFI30,ENSG00000216490,0.4372061491012573,0.4372061491012573,0.4372061491012573,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZPBP,ENSG00000042813,0.4315694570541382,0.4315694570541382,0.4315694570541382,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NFKBIZ,ENSG00000144802,0.42935916781425476,0.42935916781425476,0.42935916781425476,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZMIZ1,ENSG00000108175,0.42393308877944946,0.42393308877944946,0.42393308877944946,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LPIN3,ENSG00000132793,0.42206770181655884,0.42206770181655884,0.42206770181655884,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ESPN,ENSG00000187017,0.42167603969573975,0.42167603969573975,0.42167603969573975,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PEX13,ENSG00000162928,0.42062270641326904,0.42062270641326904,0.42062270641326904,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TSGA10IP,ENSG00000175513,0.41344916820526123,0.41344916820526123,0.41344916820526123,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAPK1,ENSG00000100030,0.4095972776412964,0.4095972776412964,0.4095972776412964,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZC3HAV1L,ENSG00000146858,0.390117347240448,0.390117347240448,0.390117347240448,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SMARCA4,ENSG00000127616,0.3826248347759247,0.3826248347759247,0.3826248347759247,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LRRIQ4,ENSG00000188306,0.3805285692214966,0.3805285692214966,0.3805285692214966,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZFP36L2,ENSG00000152518,0.3748534321784973,0.3748534321784973,0.3748534321784973,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
